Cas8838	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-0.48596999	-0.389919996	-0.48596999	-0.389919996	122.1608505	1014.444763	247.1100616	0	1.207010031	396.686615	1014.444763	1	1	-1	151	0	0
1	-0.360150009	-0.235980004	-0.360150009	-0.235980004	345.7459412	3261.368164	262.2548523	0	1.038599968	387.7145081	3261.368164	1	1	-1	312	0	0
1	-0.354279995	-0.035459999	-0.354279995	-0.035459999	1864.713135	16574.78516	254.5315857	0	1.002930045	462.1580811	16574.78516	1	1	-1	301	0	0
1	-0.349489987	0.307779998	-0.349489987	0.307779998	1655.936523	15215.23926	258.7944641	0	1.016720057	422.2512207	15215.23926	1	1	-1	274	0	0
1	-0.337700009	-0.065269999	-0.337700009	-0.065269999	2236.211914	18438.4707	245.1519928	0	1.008299947	447.7406921	18438.4707	1	1	-1	304	0	0
1	-0.330729991	-0.00201	-0.330729991	-0.00201	1944.646484	17363.05859	255.1072693	0	1.01086998	431.8499146	17363.05859	1	1	-1	302	0	0
1	-0.323430002	-0.136289999	-0.323430002	-0.136289999	460.6837769	3538.208008	237.2211456	0	1.155990005	402.1752014	3538.208008	1	1	-1	305	0	0
1	-0.319570005	0.297410011	-0.319570005	0.297410011	2217.239502	17601.14844	240.561676	0	1.027150035	433.7492065	17601.14844	1	1	-1	402	0	0
1	-0.306019992	-0.05085	-0.306019992	-0.05085	1532.817017	12493.87305	243.7609863	0	1.027099967	436.5469971	12493.87305	1	1	-1	326	0	0
1	-0.305480003	-0.09375	-0.305480003	-0.09375	996.5325317	8740.647461	252.8474121	0	1.012910008	451.3842163	8740.647461	1	1	-1	300	0	0
1	-0.301499993	0.319799989	-0.301499993	0.319799989	2376.018799	20133.92188	248.5267639	0	1.014580011	443.9499207	20133.92188	1	1	-1	273	0	0
1	-0.291200012	-0.02988	-0.291200012	-0.02988	1777.628052	15785.54785	254.4181671	0	1.015949965	443.2442017	15785.54785	1	1	-1	292	0	0
1	-0.29054001	-0.064929999	-0.29054001	-0.064929999	1375.588501	12605.69141	258.5034485	0	1.044440031	445.719635	12605.69141	1	1	-1	303	0	0
1	-0.288569987	0.00146	-0.288569987	0.00146	668.350647	6301.62793	262.1521606	0	1.008669972	419.9920044	6301.62793	1	1	-1	293	0	0
1	-0.281289995	-0.045249999	-0.281289995	-0.045249999	2936.090332	24762.6875	247.955368	0	1.026309967	451.1066589	24762.6875	1	1	-1	389	0	0
1	-0.279100001	0.339749992	-0.279100001	0.339749992	1626.246826	13144.12207	242.7166595	0	1.006360054	454.657196	13144.12207	1	1	-1	272	0	0
1	-0.203449994	-0.033020001	-0.203449994	-0.033020001	438.9440002	3293.585205	233.9255371	0	1.048859954	397.4438782	3293.585205	1	1	-1	3	0	0
1	-0.194969997	0.288549989	-0.194969997	0.288549989	862.0220947	7851.703125	257.7843933	0	1.064039946	420.2769165	7851.703125	1	1	-1	275	0	0
1	-0.178770006	-0.036899999	-0.178770006	-0.036899999	1452.270386	11784.71484	243.3607941	0	1.076110005	428.2507629	11784.71484	1	1	-1	306	0	0
1	-0.165380001	-0.073760003	-0.165380001	-0.073760003	1562.824341	12703.26172	243.4036102	0	1.002220035	439.2770386	12703.26172	1	1	-1	307	0	0
1	-0.153369993	-0.330469996	-0.153369993	-0.330469996	1000.309448	9158.790039	258.3322449	0	1.004909992	408.031311	9158.790039	1	1	-1	25	0	0
1	-0.129979998	0.03624	-0.129979998	0.03624	2198.829834	17767.01367	242.7166595	0	1.035050035	439.328125	17767.01367	1	1	-1	344	0	0
1	-0.11592	-0.351000011	-0.11592	-0.351000011	3379.594482	31538.54883	260.8039246	0	1.005010009	512.9561768	31538.54883	1	1	-1	24	0	0
1	-0.108630002	-0.061859999	-0.108630002	-0.061859999	211.395874	1738.154175	244.9080353	0	1.059730053	373.6004334	1738.154175	1	1	-1	308	0	0
1	-0.107330002	0.300410002	-0.107330002	0.300410002	841.8196411	7207.258301	249.806488	0	1.009039998	417.8421021	7207.258301	1	1	-1	419	0	0
1	-0.081900001	0.356620014	-0.081900001	0.356620014	3024.700684	25602.95898	248.3855286	0	1.00237	461.4276428	25602.95898	1	1	-1	420	0	0
1	-0.078120001	-0.00711	-0.078120001	-0.00711	1033.410034	9315.985352	256.3313599	0	1.00177002	409.9633179	9315.985352	1	1	-1	343	0	0
1	-0.07068	-0.04366	-0.07068	-0.04366	3416.467041	29493.76758	250.8443909	0	1.008030057	471.3334351	29493.76758	1	1	-1	152	0	0
1	-0.05528	-0.36976999	-0.05528	-0.36976999	1940.667969	17130.18555	253.6520538	0	1.013939977	459.9544983	17130.18555	1	1	-1	10	0	0
1	-0.05483	0.116970003	-0.05483	0.116970003	396.3544922	3403.436279	250.2002411	0	1.029839993	402.4542542	3403.436279	1	1	-1	42	0	0
1	-0.051010001	-0.372979999	-0.051010001	-0.372979999	1373.269653	13517.52734	267.8509521	0	1.000460029	448.9359436	13517.52734	1	1	-1	23	0	0
1	-0.031199999	-0.328949988	-0.031199999	-0.328949988	2142.273438	18652.42578	251.9186554	0	1.010609984	460.6038208	18652.42578	1	1	-1	11	0	0
1	-0.02837	0.335240006	-0.02837	0.335240006	2045.766846	17231.29297	247.7863159	0	1.020200014	444.270752	17231.29297	1	1	-1	378	0	0
1	-0.02647	-0.04129	-0.02647	-0.04129	2586.628662	22362.66992	251.0883484	0	1.045459986	464.4197998	22362.66992	1	1	-1	374	0	0
1	-0.02225	-0.360929996	-0.02225	-0.360929996	2941.780518	24236.12305	245.0492554	0	1.00601995	478.2103271	24236.12305	1	1	-1	7	0	0
1	-0.02115	-0.354479998	-0.02115	-0.354479998	1406.835083	11551.66797	244.638382	0	1.005869985	451.7177734	11551.66797	1	1	-1	149	0	0
1	-0.02015	0.05889	-0.02015	0.05889	1500.638184	12870.01758	250.0589905	0	1.035539985	459.7051697	12870.01758	1	1	-1	46	0	0
1	-0.01094	-0.383410007	-0.01094	-0.383410007	1470.562744	12543.83984	249.3527985	0	1.018319964	446.6420593	12543.83984	1	1	-1	13	0	0
1	-0.01021	-0.377649993	-0.01021	-0.377649993	1293.82605	10937.09863	248.2421417	0	1.027529955	442.193634	10937.09863	1	1	-1	6	0	0
1	-0.01015	-0.331930012	-0.01015	-0.331930012	2286.68457	18572.97656	243.3115845	0	1.005180001	454.7174988	18572.97656	1	1	-1	12	0	0
1	-0.00683	-0.328090012	-0.00683	-0.328090012	1026.397217	9172.086914	255.3105621	0	1.057279944	429.703125	9172.086914	1	1	-1	144	0	0
1	-0.00549	0.122579999	-0.00549	0.122579999	220.1897583	1711.580566	238.1820068	0	1.075330019	413.2644653	1711.580566	1	1	-1	379	0	0
1	-0.0053	-0.386249989	-0.0053	-0.386249989	1006.555481	8573.731445	249.2030029	0	1.034559965	413.994751	8573.731445	1	1	-1	494	0	0
1	-0.00525	0.01914	-0.00525	0.01914	1095.65979	9240.050781	247.955368	0	1.030730009	406.1826172	9240.050781	1	1	-1	153	0	0
1	-0.00372	-0.350320011	-0.00372	-0.350320011	2122.669189	18126.5918	249.5132904	0	1.031469941	455.469574	18126.5918	1	1	-1	8	0	0
1	-7.00E-05	0.090549998	-7.00E-05	0.090549998	1541.338867	13423.42188	252.0085449	0	1.045979977	460.7901306	13423.42188	1	1	-1	44	0	0
1	0.00557	0.04851	0.00557	0.04851	1820.826416	15242.97852	247.1443329	0	1.066820025	444.8349915	15242.97852	1	1	-1	53	0	0
1	0.00806	-0.00102	0.00806	-0.00102	1451.217651	11897.31445	244.450058	0	1.012949944	444.1907959	11897.31445	1	1	-1	47	0	0
1	0.00874	0.396369994	0.00874	0.396369994	1822.78125	16472.13867	256.6630554	0	1.025069952	454.276123	16472.13867	1	1	-1	113	0	0
1	0.01105	0.355379999	0.01105	0.355379999	1286.959229	11319.91602	253.2197723	0	1.025359988	420.4212036	11319.91602	1	1	-1	112	0	0
1	0.0153	0.034139998	0.0153	0.034139998	2056.37793	17731.85938	250.6988525	0	1.007859945	462.0008545	17731.85938	1	1	-1	55	0	0
1	0.018060001	-0.371160001	0.018060001	-0.371160001	1130.591675	9659.760742	249.5475464	0	1.000740051	425.4961853	9659.760742	1	1	-1	145	0	0
1	0.022120001	0.422289997	0.022120001	0.422289997	861.3734741	8260.696289	264.3841553	0	1.000710011	405.730072	8260.696289	1	1	-1	218	0	0
1	0.02344	0.07999	0.02344	0.07999	1934.676025	18358.13867	262.9888916	0	1.005599976	461.4745789	18358.13867	1	1	-1	43	0	0
1	0.02715	-0.377819985	0.02715	-0.377819985	1647.693359	13995.09668	248.8135223	0	1.005949974	440.3052368	13995.09668	1	1	-1	148	0	0
1	0.02743	0.048859999	0.02743	0.048859999	3069.679443	25720.91016	247.1272125	0	1.004340053	476.3710938	25720.91016	1	1	-1	51	0	0
1	0.027659999	-0.34138	0.027659999	-0.34138	1338.182373	11708.6377	252.5499573	0	1.022930026	444.4657898	11708.6377	1	1	-1	493	0	0
1	0.027790001	0.399610013	0.027790001	0.399610013	998.963623	8906.506836	254.9360657	0	1.022510052	411.973114	8906.506836	1	1	-1	114	0	0
1	0.02792	-0.32802999	0.02792	-0.32802999	958.6740112	7991.931641	246.4980469	0	1.003450036	421.6498413	7991.931641	1	1	-1	147	0	0
1	0.029720001	-0.340259999	0.029720001	-0.340259999	1361.550659	12239.40137	255.9825134	0	1.021090031	438.0823059	12239.40137	1	1	-1	9	0	0
1	0.034049999	-0.347689986	0.034049999	-0.347689986	727.7416992	7902.335449	281.3351135	0	1.014940023	398.9281616	7902.335449	1	1	-1	403	0	0
1	0.034419999	0.03898	0.034419999	0.03898	2180.911621	18491.88281	248.5995178	0	1.008949995	453.0717468	18491.88281	1	1	-1	52	0	0
1	0.043340001	0.079549998	0.043340001	0.079549998	2358.955566	21531.71875	257.9342041	0	1.010740042	479.5045166	21531.71875	1	1	-1	45	0	0
1	0.044210002	0.021919999	0.044210002	0.021919999	3558.591064	29888.41797	247.4203796	0	1.000730038	514.7479858	29888.41797	1	1	-1	54	0	0
1	0.057909999	0.350410014	0.057909999	0.350410014	667.1796265	5744.033203	250.5533295	0	1.041569948	409.4333191	5744.033203	1	1	-1	228	0	0
1	0.06016	0.349000007	0.06016	0.349000007	1040.631958	9033.862305	251.5869598	0	1.038259983	419.0713196	9033.862305	1	1	-1	110	0	0
