Cas8838	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	-0.36015	-0.23598	-0.36015	-0.23598	500.00000	5000.00000	262.25485	0.00000	1.00000	387.71451	3261.36816	1	1	-1	1	0.00000	0.00000
1	-0.35428	-0.03546	-0.35428	-0.03546	500.00000	5000.00000	254.53159	0.00000	1.00000	462.15808	16574.78516	1	1	-1	1	0.00000	0.00000
1	-0.34949	0.30778	-0.34949	0.30778	500.00000	5000.00000	258.79446	0.00000	1.00000	422.25122	15215.23926	1	1	-1	1	0.00000	0.00000
1	-0.33770	-0.06527	-0.33770	-0.06527	500.00000	5000.00000	245.15199	0.00000	1.00000	447.74069	18438.47070	1	1	-1	1	0.00000	0.00000
1	-0.33073	-0.00201	-0.33073	-0.00201	500.00000	5000.00000	255.10727	0.00000	1.00000	431.84991	17363.05859	1	1	-1	1	0.00000	0.00000
1	-0.32343	-0.13629	-0.32343	-0.13629	500.00000	5000.00000	237.22115	0.00000	1.00000	402.17520	3538.20801	1	1	-1	1	0.00000	0.00000
1	-0.31957	0.29741	-0.31957	0.29741	500.00000	5000.00000	240.56168	0.00000	1.00000	433.74921	17601.14844	1	1	-1	1	0.00000	0.00000
1	-0.30602	-0.05085	-0.30602	-0.05085	500.00000	5000.00000	243.76099	0.00000	1.00000	436.54700	12493.87305	1	1	-1	1	0.00000	0.00000
1	-0.30548	-0.09375	-0.30548	-0.09375	500.00000	5000.00000	252.84741	0.00000	1.00000	451.38422	8740.64746	1	1	-1	1	0.00000	0.00000
1	-0.30150	0.31980	-0.30150	0.31980	500.00000	5000.00000	248.52676	0.00000	1.00000	443.94992	20133.92188	1	1	-1	1	0.00000	0.00000
1	-0.29120	-0.02988	-0.29120	-0.02988	500.00000	5000.00000	254.41817	0.00000	1.00000	443.24420	15785.54785	1	1	-1	1	0.00000	0.00000
1	-0.29054	-0.06493	-0.29054	-0.06493	500.00000	5000.00000	258.50345	0.00000	1.00000	445.71964	12605.69141	1	1	-1	1	0.00000	0.00000
1	-0.28857	0.00146	-0.28857	0.00146	500.00000	5000.00000	262.15216	0.00000	1.00000	419.99200	6301.62793	1	1	-1	1	0.00000	0.00000
1	-0.28129	-0.04525	-0.28129	-0.04525	500.00000	5000.00000	247.95537	0.00000	1.00000	451.10666	24762.68750	1	1	-1	1	0.00000	0.00000
1	-0.27910	0.33975	-0.27910	0.33975	500.00000	5000.00000	242.71666	0.00000	1.00000	454.65720	13144.12207	1	1	-1	1	0.00000	0.00000
1	-0.20345	-0.03302	-0.20345	-0.03302	500.00000	5000.00000	233.92554	0.00000	1.00000	397.44388	3293.58521	1	1	-1	1	0.00000	0.00000
1	-0.19497	0.28855	-0.19497	0.28855	500.00000	5000.00000	257.78439	0.00000	1.00000	420.27692	7851.70313	1	1	-1	1	0.00000	0.00000
1	-0.17877	-0.03690	-0.17877	-0.03690	500.00000	5000.00000	243.36079	0.00000	1.00000	428.25076	11784.71484	1	1	-1	1	0.00000	0.00000
1	-0.16538	-0.07376	-0.16538	-0.07376	500.00000	5000.00000	243.40361	0.00000	1.00000	439.27704	12703.26172	1	1	-1	1	0.00000	0.00000
1	-0.15337	-0.33047	-0.15337	-0.33047	500.00000	5000.00000	258.33224	0.00000	1.00000	408.03131	9158.79004	1	1	-1	1	0.00000	0.00000
1	-0.12998	0.03624	-0.12998	0.03624	500.00000	5000.00000	242.71666	0.00000	1.00000	439.32813	17767.01367	1	1	-1	1	0.00000	0.00000
1	-0.11592	-0.35100	-0.11592	-0.35100	500.00000	5000.00000	260.80392	0.00000	1.00000	512.95618	31538.54883	1	1	-1	1	0.00000	0.00000
1	-0.10863	-0.06186	-0.10863	-0.06186	500.00000	5000.00000	244.90804	0.00000	1.00000	373.60043	1738.15417	1	1	-1	1	0.00000	0.00000
1	-0.10733	0.30041	-0.10733	0.30041	500.00000	5000.00000	249.80649	0.00000	1.00000	417.84210	7207.25830	1	1	-1	1	0.00000	0.00000
1	-0.08190	0.35662	-0.08190	0.35662	500.00000	5000.00000	248.38553	0.00000	1.00000	461.42764	25602.95898	1	1	-1	1	0.00000	0.00000
1	-0.07812	-0.00711	-0.07812	-0.00711	500.00000	5000.00000	256.33136	0.00000	1.00000	409.96332	9315.98535	1	1	-1	1	0.00000	0.00000
1	-0.07068	-0.04366	-0.07068	-0.04366	500.00000	5000.00000	250.84439	0.00000	1.00000	471.33344	29493.76758	1	1	-1	1	0.00000	0.00000
1	-0.05528	-0.36977	-0.05528	-0.36977	500.00000	5000.00000	253.65205	0.00000	1.00000	459.95450	17130.18555	1	1	-1	1	0.00000	0.00000
1	-0.05483	0.11697	-0.05483	0.11697	500.00000	5000.00000	250.20024	0.00000	1.00000	402.45425	3403.43628	1	1	-1	1	0.00000	0.00000
1	-0.05101	-0.37298	-0.05101	-0.37298	500.00000	5000.00000	267.85095	0.00000	1.00000	448.93594	13517.52734	1	1	-1	1	0.00000	0.00000
